AddressId,PostCode,StreetName,StreetNumber,Lat,Long,FK_City
1,75526,Kasztanowa,2,54.3026,17.1568,1
2,40158,Sloneczna,95,55.2425,18.6883,2
3,66569,Jodlowa,29,55.0192,18.5188,3
4,88112,Sloneczna,46,54.3673,19.1515,4
5,36081,Wyspianskiego,52,54.0379,18.2052,5
6,36596,Wyspianskiego,11,54.0961,17.8611,6
7,12323,Szkolna,45,54.078,19.7466,7
8,55694,Lakowa,5,54.335,19.1085,8
9,50249,Jodlowa,26,54.3493,18.6056,9
10,34542,Zaciszna,4,54.4122,17.1485,10
11,18384,Szeroka,28,54.513,18.8312,11
12,28890,Kasztanowa,25,54.2546,17.2885,12
13,18004,Krucza,85,53.9542,18.5172,13
14,62856,Sosnowa,54,54.5539,17.5613,14
15,77335,Chopina,83,54.9789,19.7437,15
16,12329,Krotka,5,54.1098,17.7939,16
17,16153,Jodlowa,54,53.646,17.5673,17
18,73063,Moniuszki,73,54.3897,18.142,18
19,29097,Brzozowa,84,54.9806,19.2639,19
20,91790,Borowa,42,54.0781,19.3888,20
21,24229,Norwida,79,53.713,18.7507,21
22,37188,Zeromskiego,7,54.0607,17.862,22
23,86331,Reymonta,76,53.6235,17.4782,23
24,63647,Koscielna,10,53.9946,18.6021,24
25,70256,Kwiatowa,82,54.2346,17.6945,25
26,77515,Slowackiego,79,53.7025,18.0237,26
27,95433,Zielona,97,54.0543,19.4785,27
28,47791,Wyspianskiego,63,55.1446,19.1198,28
29,90445,Spokojna,14,54.1431,18.3273,29
30,55158,Sloneczna,95,55.2071,19.1991,30
31,10983,Nowowiejska,45,54.9167,19.8481,31
32,92745,Dabrowska,78,54.1773,18.3246,32
33,34611,Malinowa,56,53.9111,17.3455,33
34,70813,Jana Pawla II,29,54.206,18.5273,34
35,98567,Koszykowa,72,54.4746,18.8349,35
36,46312,Jagiellonska,0,53.9955,18.1501,36
37,40323,Gorna,81,54.9234,19.5505,37
38,36749,Swierkowa,0,53.7878,18.1063,38
39,13494,Parkowa,52,55.1438,17.1948,39
40,67252,Wladyslawa IV,53,55.0418,18.5114,40
41,58672,Lakowa,94,55.261,18.8144,41
42,86964,Spokojna,37,53.95,19.5033,42
43,16977,Jasna,23,54.352,18.7016,43
44,97149,Jana Pawla II,34,53.7913,18.1145,44
45,77379,Sloneczna,42,54.0865,17.419,45
46,26156,Zielona,83,54.35,18.0377,46
47,81820,Morelowa,60,54.6192,18.6732,47
48,33044,Topolowa,17,54.0611,18.2513,48
49,42521,Kosciuszki,80,53.7441,19.5653,49
50,23915,Zielona,61,54.2472,19.4934,50
51,59433,Zielona,68,53.7856,18.6045,51
52,87354,Spokojna,96,54.5591,17.4491,52
53,75381,Jagiellonska,77,53.9846,17.7648,53
54,45047,Szkolna,74,54.7685,18.1519,54
55,22438,Zeromskiego,21,53.7769,17.3431,55
56,99749,Waska,50,55.1614,19.4083,56
57,44146,Nowowiejska,83,54.9985,19.1786,57
58,42545,Cicha,53,53.7046,18.7659,58
59,37042,Jesionowa,24,54.4456,17.9696,59
60,80096,Zielona,79,55.229,18.4363,60
61,46748,Lipowa,99,55.1043,17.2928,61
62,49343,Kosciuszki,94,55.0527,17.5622,62
63,11498,Bukowa,81,54.5762,19.843,63
64,17181,Mickiewicza,20,53.7772,17.3442,64
65,36534,Zielona,14,54.9628,17.2805,65
66,49766,Jabloniowa,79,54.4676,17.3155,66
67,90456,Malinowa,84,54.0918,19.2742,67
68,86828,Witosa,99,54.7001,19.7114,68
69,11685,Mickiewicza,1,54.3776,18.3312,69
70,27496,Waska,76,54.1463,17.6868,70
71,18835,Koszykowa,57,54.2178,17.9202,71
72,53838,Dworcowa,99,54.4851,17.147,72
73,82747,Morelowa,64,54.1212,17.7635,73
74,26327,Marszalkowska,30,55.2421,19.4654,74
75,13930,Nowowiejska,26,54.2322,19.3279,75
76,34105,Sloneczna,14,54.5629,18.4367,76
77,85076,Zaciszna,9,54.7602,17.7138,77
78,33124,Targowa,29,54.193,17.4773,78
79,51416,Jagiellonska,52,53.9096,18.6406,79
80,40368,Jesionowa,29,54.7367,19.282,80
81,92930,Jana Pawla II,29,54.9831,18.25,81
82,23736,Krucza,32,53.7522,17.2206,82
83,71095,Kosciuszki,23,53.9609,17.595,83
84,23536,Wladyslawa IV,85,54.4375,18.4352,84
85,86292,Zielona,11,53.6188,18.7705,85
86,86879,Marszalkowska,24,54.6783,18.7329,86
87,17080,Brzozowa,16,54.5497,17.6841,87
88,28304,Koscielna,20,54.6576,18.514,88
89,13335,Sobieskiego,80,55.0171,17.9647,89
90,67951,Krasinskiego,4,54.0774,17.2341,90
91,62705,Orzeszkowej,93,54.7808,18.4451,91
92,92094,Parkowa,39,53.7478,19.4602,92
93,32189,Zaciszna,47,54.6843,19.1087,93
94,79064,Topolowa,44,53.9552,17.7729,94
95,62698,Jodlowa,50,54.9396,18.7919,95
96,82742,Mickiewicza,79,53.7452,18.7163,96
97,32853,Parkowa,11,54.7381,17.3293,97
98,69128,Jagodowa,86,54.6404,19.2458,98
99,53331,Prusa,6,54.7798,19.8732,99
100,17669,Wyspianskiego,36,53.7436,17.3223,100
101,46151,Zaciszna,24,54.1159,18.4664,101
102,59189,Nowowiejska,35,55.153,18.7855,102
103,34737,Akacjowa,56,55.188,19.5678,103
104,63598,Dworcowa,22,54.5952,17.568,104
105,94448,Debowa,38,54.5837,19.2172,105
106,79701,Krasinskiego,62,54.382,19.3677,106
107,70344,Jagodowa,22,53.8151,18.9311,107
108,70515,Lesna,93,54.1991,19.4499,108
109,85985,Szkolna,23,54.3373,18.2439,109
110,61564,Orzeszkowej,56,54.3403,18.9592,110
111,76543,Koszykowa,47,53.6805,19.0986,111
112,67526,Targowa,30,55.1001,17.9228,112
113,52917,Jagodowa,68,54.3401,19.0865,113
114,85617,Morelowa,43,53.8867,17.8227,114
115,12141,Wesola,98,55.2332,17.3411,115
116,75516,Lesna,3,55.1994,19.7033,116
117,51066,Malinowa,71,54.0174,18.4486,117
118,71110,Jesionowa,97,54.524,18.4233,118
119,10033,Sienkiewicza,19,55.222,18.6489,119
120,84978,Krasinskiego,58,54.9861,18.0809,120
121,96678,Malinowa,24,55.015,17.6949,121
122,86541,Jabloniowa,66,54.9847,19.8399,122
123,92231,Polna,99,55.0123,18.3034,123
124,58666,Lipowa,31,54.7093,17.8771,124
125,95794,Sloneczna,48,53.7145,17.9159,125
126,94798,Szkolna,37,53.7955,18.0558,126
127,70827,Jesionowa,57,54.6874,19.5634,127
128,95724,Kosciuszki,28,54.0297,18.6048,128
129,74992,Jagodowa,61,54.5037,17.9737,129
130,48395,Jana Pawla II,0,54.8767,18.7535,130
131,96092,Norwida,88,54.8881,19.3776,131
132,26909,Sobieskiego,44,53.9142,17.4528,132
133,96253,Brzozowa,55,54.2281,17.2855,133
134,77580,Kosciuszki,44,54.1878,18.9145,134
135,51601,Bukowa,44,53.6648,18.2446,135
136,41970,Debowa,53,55.1398,17.8275,136
137,20008,Orzeszkowej,69,54.1245,18.8032,137
138,48264,Wesola,61,54.0698,18.5314,138
139,60427,Nowowiejska,29,54.9163,19.9737,139
140,50417,Jesionowa,62,54.6684,17.2039,140
141,26461,Bukowa,35,54.1468,19.2434,141
142,51666,Jodlowa,2,55.0717,19.0858,142
143,29678,Pulawska,58,54.0884,17.3333,143
144,67794,Brzozowa,78,54.7817,19.6881,144
145,65372,Jagiellonska,22,53.7984,17.2293,145
146,76982,Slowackiego,61,54.1271,17.3338,146
147,30990,Koscielna,66,55.0268,18.8906,147
148,58813,Nowowiejska,39,54.4152,19.6226,148
149,59889,Lakowa,29,54.6543,17.4915,149
150,85568,Marszalkowska,26,54.6122,19.4138,150
151,15249,Koszykowa,26,53.8087,18.2543,151
152,32640,Kasztanowa,46,54.9299,19.2245,152
153,91495,Kwiatowa,24,54.7013,17.5628,153
154,21421,Moniuszki,72,53.8798,17.8513,154
155,49435,Lakowa,37,54.5886,17.5012,155
156,78301,Cicha,15,54.4037,18.3557,156
157,46278,Moniuszki,30,54.007,19.1749,157
158,40973,Wesola,34,54.0362,18.1972,158
159,44810,Szkolna,67,54.9614,17.4759,159
160,29589,Wyspianskiego,76,54.7255,18.0391,160
161,31815,Parkowa,37,54.1515,17.2284,161
162,88220,Bukowa,64,53.6603,17.2138,162
163,26014,Zaciszna,27,53.8917,19.685,163
164,19601,Borowa,10,54.2697,17.2608,164
165,98688,Wesola,12,54.9687,18.9212,165
166,14812,Brzozowa,85,54.8232,17.3757,166
167,44997,Mickiewicza,89,55.0476,18.1061,167
168,65782,Wesola,47,55.0226,19.0621,168
169,97164,Wesola,17,54.8578,19.7085,169
170,19061,Wyspianskiego,76,55.2378,18.1602,170
171,66847,Morelowa,0,54.1431,17.2488,171
172,67012,Norwida,93,54.84,19.8622,172
173,10021,Krasinskiego,77,54.5773,17.5629,173
174,11257,Lakowa,89,54.1113,17.4211,174
175,33230,Zaciszna,45,53.6904,18.2545,175
176,56544,Marszalkowska,47,54.8329,18.1792,176
177,58330,Marszalkowska,10,54.0431,17.8272,177
178,13288,Prusa,57,55.1784,18.877,178
179,16358,Dluga,5,54.133,19.9592,179
180,50745,Jagodowa,94,55.1009,17.4738,180
181,17149,Klonowa,85,55.1683,18.7435,181
182,57614,Lesna,54,54.2043,17.2585,182
