CityId,CityName,District
1,Gdansk,Brzezno
2,Gdynia,Leszczynki
3,Gdynia,Wzgorze Sw. Maksymiliana
4,Gdynia,Pogorze
5,Sopot,Gorny Sopot
6,Gdansk,Srodmiescie
7,Gdansk,Bretowo
8,Sopot,Przylesie
9,Sopot,Centrum
10,Gdansk,Jasien
11,Sopot,Karlikowo
12,Gdansk,Zaspa-Rozstaje
13,Gdansk,Srodmiescie
14,Gdynia,Babie Doly
15,Gdansk,Piecki-Migowo (Morena)
16,Gdynia,Grabowek
17,Sopot,Kamienny Potok
18,Gdynia,Karwiny
19,Gdynia,Dabrowa
20,Sopot,Centrum
21,Gdansk,Strzyza
22,Gdansk,Bretowo
23,Sopot,Przylesie
24,Gdynia,Leszczynki
25,Gdansk,Przymorze Male
26,Gdansk,Brzezno
27,Sopot,Przylesie
28,Sopot,Kamienny Potok
29,Gdansk,Krakowiec-Gorki Zachodnie
30,Gdynia,Dabrowa
31,Gdynia,Dzialki Lesne
32,Sopot,Centrum
33,Gdynia,Oksywie
34,Gdansk,Przymorze Male
35,Gdynia,Dzialki Lesne
36,Gdynia,Pustki Cisowskie-Demptowo
37,Gdynia,Grabowek
38,Gdynia,Cisowa
39,Gdansk,Srodmiescie
40,Gdansk,Mlyniska
41,Gdansk,Brzezno
42,Gdansk,Letnica
43,Sopot,Karlikowo
44,Gdynia,Pustki Cisowskie-Demptowo
45,Sopot,Kamienny Potok
46,Gdansk,Mlyniska
47,Gdansk,Suchanino
48,Gdansk,Stogi
49,Sopot,Dolny Sopot
50,Gdynia,Redlowo
51,Gdansk,Wrzeszcz Gorny
52,Sopot,Dolny Sopot
53,Gdansk,Letnica
54,Gdynia,Obluze
55,Sopot,Dolny Sopot
56,Gdynia,Cisowa
57,Gdansk,Wrzeszcz Dolny
58,Gdansk,Strzyza
59,Gdynia,Cisowa
60,Gdansk,Strzyza
61,Gdynia,Karwiny
62,Sopot,Centrum
63,Gdansk,Nowy Port
64,Gdansk,Zaspa-Mlyniec
65,Gdansk,Osowa
66,Gdynia,Srodmiescie
67,Sopot,Brodwino
68,Sopot,Centrum
69,Gdansk,Wrzeszcz Gorny
70,Gdynia,Redlowo
71,Sopot,Gorny Sopot
72,Sopot,Gorny Sopot
73,Gdansk,Wrzeszcz Gorny
74,Sopot,Centrum
75,Gdansk,Stogi
76,Gdynia,Wielki Kack
77,Sopot,Gorny Sopot
78,Sopot,Kamienny Potok
79,Sopot,Centrum
80,Sopot,Brodwino
81,Sopot,Centrum
82,Sopot,Brodwino
83,Gdynia,Chwarzno-Wiczlino
84,Sopot,Kamienny Potok
85,Gdansk,Orunia-Sw. Wojciech-Lipce
86,Gdansk,Ujescisko-Lostowice
87,Sopot,Dolny Sopot
88,Gdynia,Witomino
89,Gdansk,Rudniki
90,Gdynia,Oksywie
91,Gdynia,Wielki Kack
92,Gdynia,Chwarzno-Wiczlino
93,Gdansk,Krakowiec-Gorki Zachodnie
94,Sopot,Przylesie
95,Gdynia,Orlowo
96,Gdansk,Letnica
97,Gdansk,Matarnia
98,Sopot,Brodwino
99,Sopot,Karlikowo
100,Sopot,Dolny Sopot
101,Sopot,Dolny Sopot
102,Gdansk,Mlyniska
103,Sopot,Centrum
104,Sopot,Centrum
105,Gdynia,Redlowo
106,Gdansk,Siedlce
107,Gdansk,Olszynka
108,Gdansk,Orunia-Sw. Wojciech-Lipce
109,Gdynia,Karwiny
110,Sopot,Brodwino
111,Sopot,Kamienny Potok
112,Gdansk,Piecki-Migowo (Morena)
113,Gdynia,Maly Kack
114,Sopot,Dolny Sopot
115,Gdynia,Leszczynki
116,Gdansk,Matarnia
117,Sopot,Kamienny Potok
118,Gdansk,Osowa
119,Sopot,Przylesie
120,Gdynia,Grabowek
121,Gdynia,Kamienna Gora
122,Sopot,Gorny Sopot
123,Gdynia,Orlowo
124,Sopot,Przylesie
125,Gdynia,Pogorze
